New_Group_Name,Group_name,TYPE_NAME,ROHM_NAME,ORDERNO,LOTNO,TIDAY,DELIVERYDAY,ALLOC_QTY,NEW_PRODNO,FIN_PROCESS,NEW_RECDAY,NEW_QTY,UploadDate
,,HTSOP-J8XW,BD650M5WEFJ-CFX     ,240913P900C ,2437E6018H,9/13/2024 0:00,9/27/2024 0:00,1100,0758,FLFT,9/30/2024 21:45,1093,10/1/2024 0:00
,,HTSOP-J8XW,BD950F51EFJ-CFX     ,240916P900J ,2438E2026H,9/16/2024 0:00,9/30/2024 0:00,1100,0101,DC,9/19/2024 2:29,1100,10/1/2024 0:00
,,HTSOP-J8YW,BV1HAC45EFJ-CFX     ,240911P900B ,2437E4005H,9/11/2024 0:00,9/25/2024 0:00,2750,0201,DB,9/26/2024 13:39,2878,10/1/2024 0:00
,,HTSOP-J8YW,BV1LG080EFJ-CFX     ,240916P900M ,2438E2029H,9/16/2024 0:00,9/27/2024 0:00,1700,0203,WB,10/1/2024 2:42,1669,10/1/2024 0:00
,,HTSSOPC16Y,BV2HBS20TL-FX       ,240916P900N ,2438E2030H,9/16/2024 0:00,10/10/2024 0:00,2750,0203,WB,9/30/2024 14:26,2835,10/1/2024 0:00
,,SOP8TW    ,BM2P104TF-E2        ,4UJV00010   ,2435E3009H,8/27/2024 0:00,9/15/2024 0:00,5000,1001,TAPING,9/29/2024 22:55,4723,10/1/2024 0:00
,,UQ88FBV1XW,BD83064MWF-CFX      ,240911P900A ,2437E4003H,9/11/2024 0:00,9/25/2024 0:00,2400,0201,DB,9/24/2024 13:48,2396,10/1/2024 0:00
,,UQ88FBV1XW,BD83064MWF-CFX      ,240911P900A ,2437E4004H,9/11/2024 0:00,9/25/2024 0:00,2000,0201,DB,9/24/2024 14:01,2000,10/1/2024 0:00
,,UQ88FBV1XW,PK83064MWF-FX       ,240827P900D ,2435E3018H,8/27/2024 0:00,9/3/2024 0:00,240,0201,DB,9/25/2024 13:13,200,10/1/2024 0:00
,,V16FV3030W,BD39045DZ-FX        ,240913P900F ,2437E6019H,9/13/2024 0:00,9/30/2024 0:00,2664,0101,DC,9/17/2024 5:28,2664,10/1/2024 0:00
,,V48TFBV7XW,BM801R1DSN2-FX      ,240913P900E ,2437E6014H,9/13/2024 0:00,9/27/2024 0:00,880,0101,DC,9/14/2024 5:54,880,10/1/2024 0:00
,,VQ20HV35AW,BD868F8MUH-CE2      ,4UJW00011   ,2438E3002H,9/17/2024 0:00,10/12/2024 0:00,12924,0203,WB,9/30/2024 16:39,12894,10/1/2024 0:00
OUT_BGA,BGA,CLGA10V020,BM1386GLV-ZTR       ,4UIW00793   ,2436F5034H,9/5/2024 0:00,9/15/2024 0:00,3592,0965,Throw_in,,3592,10/1/2024 0:00
OUT_BGA,BGA,CLGA10V020,BM1386GLV-ZTR       ,4UIW01836   ,2437F4026H,9/11/2024 0:00,9/21/2024 0:00,3220,0965,Throw_in,,3220,10/1/2024 0:00
OUT_BGA,BGA,CLGA10V020,BM1386GLV-ZTR       ,4UIW01836   ,2437F4027H,9/11/2024 0:00,9/21/2024 0:00,3332,0965,Throw_in,,3332,10/1/2024 0:00
OUT_BGA,BGA,CLGA10V020,BM1386GLV-ZTR       ,4UIW01836   ,2437F4028H,9/11/2024 0:00,9/21/2024 0:00,3247,0965,Throw_in,,3247,10/1/2024 0:00
OUT_BGA,BGA,CLGA10V020,BM1386GLV-ZTR       ,4UIW01836   ,2437F4029H,9/11/2024 0:00,9/21/2024 0:00,3998,0965,Throw_in,,3998,10/1/2024 0:00
OUT_BGA,BGA,CLGA10V020,BM1386GLV-ZTR       ,4UIW01836   ,2437F4030H,9/11/2024 0:00,9/21/2024 0:00,3064,0965,Throw_in,,3064,10/1/2024 0:00
OUT_BGA,BGA,MLGA010V02,BM1422AGMV-ZE2      ,4UIW03982   ,2439F1037H,9/22/2024 0:00,10/2/2024 0:00,16128,0892,FT,9/29/2024 13:16,8977,10/1/2024 0:00
